,Description
tenderness to touch,"In medicine, tenderness is pain or discomfort when an affected area is touched. It should not be confused with the pain that a patient perceives without touching. Pain is patient's perception, while tenderness is a sign that a clinician elicits."
jaw locking,"Lockjaw (trismus) is when the jaw muscles spasm and affect jaw movement. If you develop this condition, your jaw may be ""frozen"" in a certain position, and you might not be able to open your mouth wide. Lockjaw can be painful and it cause complications, such as choking."
vaginal pain,"This is a medical term for painful intercourse. It can be caused by insufficient lubrication during sex from hormonal changes or lack of sexual arousal. Vaginal pain can also stem from psychological conditions, such as a history of sexual abuse"
impotence,Erectile dysfunction (impotence) is the inability to get and keep an erection firm enough for sex
fits of rage,"Intermittent explosive disorder involves repeated, sudden episodes of impulsive, aggressive, violent behavior or angry verbal outbursts in which you react grossly out of proportion to the situation"
coarse hair,"Coarse hair can be identified by a thick hair shaft. This hair texture has the widest and largest circumference of any other. Unlike thin or medium hair, coarse hair contains all three layers of the hair shaft — cortex, cuticle, and medulla. ... If the hair strand is thicker than the thread, you have coarse hair."
change in vision,"Visual disturbances interfere with normal sight. Several conditions and disorders may cause the various types of visual disturbances. Some are temporary and can be relieved with treatment. However, some can be permanent."
delirium,Delirium is a serious disturbance in mental abilities that results in confused thinking and reduced awareness of the environment. The start of delirium is usually rapid — within hours or a few days.
lack of emotion,"Apathy is a lack of those feelings. But it isn't the same thing as depression, though it can be hard to tell the two conditions apart. Feeling ""blah"" about life is common in both conditions. It isn't sadness or anger, either. Rather than feeling these emotions, you don't feel much of anything."
regurgitation of food,Regurgitation is the spitting up of food from the esophagus or stomach without nausea or forceful contractions of the abdominal muscles. Rumination is regurgitation with no apparent physical cause.
leg swelling,Leg swelling generally occurs because of an abnormal accumulation of fluid in the tissues of the lower extremity. The medical term for leg swelling from excessive fluid in the tissues is peripheral edema. Persisting indentation of a swollen leg after pressure from a finger is known as pitting edema.
pain when moving eyes,pain when moving eyes
muscle stiffness,"Muscle stiffness is when your muscles feel tight and you find it more difficult to move than you usually do, especially after rest. You may also have muscle pains, cramping, and discomfort. This is different from muscle rigidity and spasticity."
taste of acid in mouth,Share on Pinterest Dysgeusia is the medical term for an altered taste in the mouth. A persistent altered taste in the mouth is known medically as dysgeusia. This taste is described as unpleasant and can last for a long time until the underlying cause is treated.
spasms,"A spasm is a sudden involuntary contraction of a muscle, a group of muscles, or a hollow organ such as the heart. A spasmodic muscle contraction may be caused by many medical conditions, including dystonia. Most commonly, it is a muscle cramp which is accompanied by a sudden burst of pain."
vision loss,"Visual impairment, also known as vision impairment or vision loss, is a decreased ability to see to a degree that causes problems not fixable by usual means, such as glasses. Some also include those who have a decreased ability to see because they do not have access to glasses or contact lenses."
throat tightness,"Globus is sometimes also referred to as Globus pharyngeus (pharyngeus is simply the medical term for the throat). What are the usual symptoms in globus? The main symptom is a feeling of a lump, constriction (tension), or tightness in the throat."
flushed skin,"A redness of the skin, typically over the cheeks or neck. A flush is usually temporary and brought on by excitement, exercise, fever, or embarrassment. Flushing is an involuntary (uncontrollable) response of the nervous system leading to widening of the capillaries of the involved skin."
tires quickly,Get tired very fast
testicles shrinkage,"Testicular atrophy refers to the shrinking of your testicles, which are the two male reproductive glands located in the scrotum. The scrotum's main function is to regulate the temperature around the testicles, which it does by shrinking in response to cold temperatures and relaxing in response to warmer temperatures."
unable to bear weight,"The Definition of Non-weight bearing simply means that you can't put any weight on your injured lower limb for a period of time, which can be anything from weeks to months (1). This is usually the result of a leg, ankle, or foot illness or injury, such as a fracture, ruptured tendon or damaged ligament."
restless,"an inability to achieve relaxation; a feeling of mild mental discomfort. Restlessness is frequently an early, subtle sign of a patient's deterioration."
sore tongue,"Inflammation of the tongue is medically known as glossitis. Pain in the tongue is known as glossodynia. Inflammation may occur on the sides of the tongue, the tip of the tongue, on the back of the tongue, or throughout the tongue."
joint warmth,"Warm joints mean one or more of your joints feels hot to the touch or warmer than your surrounding skin. Joints that are warm are often uncomfortable because the warmth is accompanied by swelling and redness. This and other symptoms can indicate a number of medical conditions, including arthritis and injury."
proteinuria,"Proteinuria is increased levels of protein in the urine. This condition can be a sign of kidney damage. Proteins – which help build muscle and bone, regulate the amount of fluid in blood, combat infection and repair tissue – should remain in the blood"
cloudy vision,"Blurred vision: Lack of sharpness of vision with, as a result, the inability to see fine detail. Blurred vision can occur when a person who wears corrective lens is without them."
nail discoloration,"Nail discoloration, in which the nails appear white, yellow, or green, can result from different infections and conditions of the skin. In about 50% of cases, discolored nails are a result of infections with common fungi that can be found in the air, dust, and soil."
compulsive behavior,Compulsive behavior is defined as performing an action persistently and repetitively without it necessarily leading to an actual reward or pleasure. Compulsive behaviors could be an attempt to make obsessions go away.
loss of balance,"A balance disorder is a disturbance that causes an individual to feel unsteady, for example when standing or walking. It may be accompanied by feelings of giddiness, or wooziness, or having a sensation of movement, spinning, or floating."
nosebleed,nosebleed is the loss of blood from the tissue that lines the inside of your nose. Nosebleeds (also called epistaxis) are common
stool color & texture changes,stool color & texture changes
vaginal itching,"Vaginal itching (pruritus), discharge, or both result from infectious or noninfectious inflammation of the vaginal mucosa (vaginitis), often with inflammation of the vulva (vulvovaginitis). Symptoms may also include irritation, burning, erythema, and sometimes dysuria and dyspareunia."
rectal bleeding,"Rectal bleeding can refer to any blood that passes from your anus, although rectal bleeding is usually assumed to refer to bleeding from your lower colon or rectum. Your rectum makes up the lower portion of your large intestine."
excessive facial hair growth,"Hirsutism is excess hair most often noticeable around the mouth and chin. Hirsutism (HUR-soot-iz-um) is a condition in women that results in excessive growth of dark or coarse hair in a male-like pattern — face, chest and back."
cracks at corner of mouth,"f you are experiencing cracking in the corners of your mouth, you have a common condition called perleche or angular cheilitis. Perleche comes from a French word meaning “to lick,” because people tend to lick the irritated areas of their mouths"
hemolysis,"Hemolysis: The destruction of red blood cells which leads to the release of hemoglobin from within the red blood cells into the blood plasma. Etymology: The word ""hemolysis"" is made up of ""hemo-"", blood + ""lysis"", the disintegration of cells."
curved spine,"Scoliosis is a sideways curvature of the spine. Scoliosis is a sideways curvature of the spine that occurs most often during the growth spurt just before puberty. While scoliosis can be caused by conditions such as cerebral palsy and muscular dystrophy, the cause of most scoliosis is unknown."
swollen gums,"Your gums are very important to your oral health. The gums are made of firm, pink tissue that covers your jawbone. This tissue is thick, fibrous, and full of blood vessels.

If your gums become swollen, they may protrude or bulge out. Swelling in your gums usually begins where the gum meets the tooth. Your gums may become so swollen, however, that they begin to hide parts of your teeth. Swollen gums appear red instead of their normal pink color.

Swollen gums, also called gingival swelling, are often irritated, sensitive, or painful. You may also notice that your gums bleed more easily when brushing or flossing your teeth."
adhd,Attention-deficit/hyperactivity disorder (ADHD) is a disorder marked by an ongoing pattern of inattention and/or hyperactivity-impulsivity that interferes with functioning or development.
frequent infections,"One of the most common signs of primary immunodeficiency is having infections that are more frequent, longer lasting or harder to treat than are the infections of someone with a normal immune system. You may also get infections that a person with a healthy immune system likely wouldn't get (opportunistic infections)"
hearing voices,Hearing voices refers to the experience of hearing a voice when no one else is around or hearing a voice that other people cannot hear. 1. It is sometimes described as an “auditory hallucination”.
joint stiffness,"Joint stiffness is the feeling that the motion of a joint is limited or difficult. The feeling is not caused by weakness or reluctance to move the joint due to pain. Some people with stiffness are capable of moving the joint through its full range of motion, but this movement can require force."
ringing in ears,"Tinnitus (pronounced ti-ni-tis), or ringing in the ears, is the sensation of hearing ringing, buzzing, hissing, chirping, whistling, or other sounds. The noise can be intermittent or continuous, and can vary in loudness."
abnormal facial expressions,"Abnormal facial expressions can occur as a result of conditions that damage the nerves to the face, such as Bell's palsy or facial paralysis. Damage to the brain, such as with stroke or transient ischemic attack, can also cause impaired movement, including changes in facial expressions. Patients with a number of psychiatric conditions may display abnormal facial expressions, particularly the psychotic disorders, in which an individual's sense of reality is impaired. Facial tics, such as those that occur in Tourette syndrome, are one form of abnormal facial expressions."
red colored urine,"Red or pink urine can be caused by: Blood. Factors that can cause urinary blood (hematuria) include urinary tract infections, an enlarged prostate, cancerous and noncancerous tumors, kidney cysts, long-distance running, and kidney or bladder stones. Foods. Beets, blackberries and rhubarb can turn urine red or pink."
excessive body hair growth,"Hirsutism is excess hair most often noticeable around the mouth and chin. Hirsutism (HUR-soot-iz-um) is a condition in women that results in excessive growth of dark or coarse hair in a male-like pattern — face, chest and back."
excessive exercising,"In one of the largest studies on excessive exercise in eating disorders, excessive exercise was defined as any of the following: Exercise that interfered with important activities. Exercise that exceeded three hours per day and caused distress if the individual were unable to exercise."
tightness,"an uncomfortable feeling of pressure in the chest, throat, or a muscle"
hunger,"A sensation resulting from lack of food, characterized by a dull or acute pain referred to the epigastrium or lower part of chest. It is usually accompanied by weakness and an overwhelming desire to eat. Hunger pains coincide with powerful contractions of the stomach."
low libido,"Low libido describes a decreased interest in sexual activity. It's common to lose interest in sex from time to time, and libido levels vary through life. It's also normal for your interest not to match your partner's at times. However, low libido for a long period of time may cause concern for some people."
change in stools,"Changes in stool—including color, consistency and frequency"
difficulty starting urine stream,Difficulty starting or maintaining a urine stream is called urinary hesitancy.
disorganized speech,Disorganized speech is characterized by a collection of speech abnormalities that can make a person's verbal communication difficult or impossible to comprehend. It is a symptom of schizophrenia.
hyperactivity,"Hyperactivity means having increased movement, impulsive actions, and a shorter attention span, and being easily distracted."
bald spots,"Alopecia areata, also known as spot baldness, is a condition in which hair is lost from some or all areas of the body. Often it results in a few bald spots on the scalp, each about the size of a coin."
short attention span,"People with a short attention span may have trouble focusing on tasks for any length of time without being easily distracted. A short attention span can have several negative effects, including: poor performance at work or school. inability to complete daily tasks. missing important details or information."
abdominal lump,"An abdominal lump is a swelling or bulge that emerges from any area of the abdomen. It most often feels soft, but it may be firm depending on its underlying cause. In most cases, a lump is caused by a hernia."
blue colored skin,"People whose blood is low in oxygen tend to have a bluish color to their skin. This condition is called cyanosis. Depending on the cause, cyanosis may develop suddenly, along with shortness of breath and other symptoms. Cyanosis that is caused by long-term heart or lung problems may develop slowly."
joint instability,"Instability happens when tissues — such as muscles, ligaments, and bones — weaken. Once they are weak, they no longer hold the bones of the joint in proper place. Joints are flexible, allowing for movement."
increased appetite,"Polyphagia, also known as hyperphagia, is the medical term for excessive or extreme hunger. It's different than having an increased appetite after exercise or other physical activity. While your hunger level will return to normal after eating in those cases, polyphagia won't go away if you eat more food."
difficulty finding words,"Aphasia is a communication disorder that makes it hard to use words. It can affect your speech, writing, and ability to understand language. Aphasia results from damage or injury to language parts of the brain."
discharge from nipple,"Nipple discharge is any fluid or other liquid that comes out of your nipple. You might have to squeeze the nipple to get the fluid to come out, or it could seep out on its own. Nipple discharge is common during your reproductive years, even if you're not pregnant or breastfeeding. Discharge is usually not serious."
heaviness,"heaviness - the property of being comparatively great in weight; ""the heaviness of lead"" weightiness. weight - the vertical force exerted by a mass as a result of gravity. heft, ponderosity, ponderousness, heftiness, massiveness - the property of being large in mass."
low self-esteem,"Low self-esteem is characterized by a lack of confidence and feeling badly about oneself. People with low self-esteem often feel unlovable, awkward, or incompetent."
bloody sputum,"Bloody sputum: Coughed up blood or bloody mucus. Bloody sputum can be caused by infection in the lungs and airways, such as acute bronchitis or pneumonia, or cancer."
coated tongue,"White tongue is the result of an overgrowth and swelling of the fingerlike projections (papillae) on the surface of your tongue. The appearance of a white coating is caused by debris, bacteria and dead cells getting lodged between the enlarged and sometimes inflamed papillae."
decreased movement,Akinesia means absence of movement. Bradykinesia means slowness of movement. Hypokinesia means decreased amplitude or range of movement. These three terms are commonly grouped together and referred to as bradykinesia.
scaling,Abnormal shedding or accumulation of an upper layer of skin (the stratum corneum).
heartburn,"Heartburn is a burning pain in your chest, just behind your breastbone. The pain is often worse after eating, in the evening, or when lying down or bending over. Occasional heartburn is common and no cause for alarm."
spots on tonsils,"When white spots appear on the tonsils, they may present as blotches or streaks. They may also contain pus. The most common symptom that occurs is a sore throat. White spots on the tonsils usually indicate an infection."
no menstrual periods,"Amenorrhea (uh-men-o-REE-uh) is the absence of menstruation — one or more missed menstrual periods. Women who have missed at least three menstrual periods in a row have amenorrhea, as do girls who haven't begun menstruation by age 15. The most common cause of amenorrhea is pregnancy."
flaking skin,"Peeling skin is unintended damage to and loss of the upper layer of your skin (epidermis). Peeling skin may occur because of direct damage to the skin, such as from sunburn or infection. It may also be a sign of an immune system disorder or other disease."
difficulty breathing through nose,"Severe unevenness is known as a deviated septum. It can cause health complications such as a blocked nostril or difficulty breathing. An uneven septum is very common. According to the American Academy of Otolaryngology – Head and Neck Surgery, 80 percent of all septums are deviated to some degree."
dysphagia,"Difficulty swallowing (dysphagia) means it takes more time and effort to move food or liquid from your mouth to your stomach. Dysphagia may also be associated with pain. In some cases, swallowing may be impossible."
hearing loss,"Hearing impairment, deafness, or hearing loss refers to the total or partial inability to hear sounds. Symptoms may be mild, moderate, severe, or profound."
pleurisy,"Pleurisy (PLOOR-ih-see) is a condition in which the pleura — two large, thin layers of tissue that separate your lungs from your chest wall — becomes inflamed. Also called pleuritis, pleurisy causes sharp chest pain (pleuritic pain) that worsens during breathing."
blood in semen,"Blood in the semen is called hematospermia or hemospermia. When men ejaculate, they typically don't examine their semen looking for blood. So it's not known how common the condition is."
red colored stools,"Red or black poop may be a sign of bleeding in the digestive tract (from the esophagus, stomach, small intestine, or colon) and should not be ignored."
eye crusting with sleep,"Rheum (/?ru?m/; from Greek: ????? rheuma 'a flowing, rheum') is a thin mucus naturally discharged from the eyes, nose, or mouth, often during sleep (cf. mucopurulent discharge). Rheum dries and gathers as a crust in the corners of the eyes or the mouth, on the eyelids, or under the nose."
breast discharge,"Galactorrhea (guh-lack-toe-REE-uh) is a milky nipple discharge unrelated to the normal milk production of breast-feeding. Galactorrhea itself isn't a disease, but it could be a sign of an underlying problem. It usually occurs in women, even those who have never had children or after menopause."
impulsive behavior,"Impulsivity: Inclined to act on impulse rather than thought. People who are overly impulsive, seem unable to curb their immediate reactions or think before they act."
change in hair texture,Change in the hair texture
sensitive to light,"Photophobia literally means ""fear of light."" If you have photophobia, you're not actually afraid of light, but you are very sensitive to it. The sun or bright indoor light can be uncomfortable, even painful. Photophobia isn't a condition -- it's a symptom of another problem."
black colored skin,Skin with too much melanin is called hyperpigmented skin. Skin with too little melanin is called hypopigmented. Skin with no melanin at all is called depigmented.
mucus,A thick fluid that is produced by the lining of some organs of the body
