,Description
poor hygiene,"Poor hygiene can be a sign of self-neglect, which is the inability or unwillingness to attend to one's personal needs. Poor hygiene often accompanies certain mental or emotional disorders, including severe depression and psychotic disorders. Dementia is another common cause of poor hygiene."
delusions,"Delusional disorder, previously called paranoid disorder, is a type of serious mental illness — called a “psychosis”— in which a person cannot tell what is real from what is imagined. The main feature of this disorder is the presence of delusions, which are unshakable beliefs in something untrue."
swollen tonsils,"Tonsillitis is inflammation of the tonsils, two oval-shaped pads of tissue at the back of the throat — one tonsil on each side. Signs and symptoms of tonsillitis include swollen tonsils, sore throat, difficulty swallowing and tender lymph nodes on the sides of the neck."
jaundice,"Jaundice, also known as icterus, is a yellowish or greenish pigmentation of the skin and whites of the eyes due to high bilirubin levels."
ear ache,"Otalgia, earache. Examination of the ear canal and eardrum. Specialty. ENT surgery. Ear pain, also known as earache, is pain in the ear."
sore throat,"A sore throat is pain, scratchiness or irritation of the throat that often worsens when you swallow. The most common cause of a sore throat (pharyngitis) is a viral infection, such as a cold or the flu. A sore throat caused by a virus resolves on its own."
agitation,"Agitation is an unpleasant state of extreme arousal. An agitated person may feel stirred up, excited, tense, confused, or irritable."
constipation,Chronic constipation is infrequent bowel movements or difficult passage of stools that persists for several weeks or longer. Constipation is generally described as having fewer than three bowel movements a week.
numbness,"Numbness describes a loss of sensation or feeling in a part of your body. It's often accompanied by or combined with other changes in sensation, such as a pins-and-needles feeling or burning."
abdominal pain,"Abdominal pain is pain that occurs between the chest and pelvic regions. Abdominal pain can be crampy, achy, dull, intermittent or sharp. It's also called a stomachache. Inflammation or diseases that affect the organs in the abdomen can cause abdominal pain."
nausea,A feeling of sickness or discomfort in the stomach that may come with an urge to vomit. Nausea is a side effect of some types of cancer therapy.
back pain,"Orthopedics. Back pain, also known as backache, is pain felt in the back. The back is divided into neck pain (cervical), middle back pain (thoracic), lower back pain (lumbar) or coccydynia (tailbone or sacral pain) based on the segment affected. The lumbar area is the most common area affected."
chill,"A feeling of cold with shivering or shaking and pallor, accompanied by an elevation of temperature in the interior of the body; usually a symptom of an infectious disease."
wheezing,Wheezing is a high-pitched whistling sound made while breathing. It's often associated with difficulty breathing. Wheezing may occur during breathing out (expiration) or breathing in (inspiration).
drowsiness,Drowsiness refers to feeling abnormally sleepy during the day. People who are drowsy may fall asleep in inappropriate situations or at inappropriate times.
labored breathing,"When you experience labored breathing, you can't breathe easily and may even struggle to breathe. Labored breathing can be alarming and cause you to feel tired or worn out. It can sometimes represent a medical emergency. Other names for labored breathing include: difficulty breathing."
fatigue,"Fatigue is a lack of energy and motivation. Drowsiness and apathy (a feeling of not caring about what happens) can be symptoms that go along with fatigue. Fatigue can be a normal and important response to physical activity, emotional stress, boredom, or lack of sleep"
fever,"Fever. CDC considers a person to have a fever when he or she has a measured temperature of 100.4° F (38° C) or greater, or feels warm to the touch, or gives a history of feeling feverish."
diarrhea,"Diarrhea is loose, watery stools three or more times a day. Diarrhea may be acute, persistent, or chronic: Acute diarrhea is a common problem that typically lasts 1 or 2 days and goes away on its own. Persistent diarrhea lasts longer than 2 weeks and less than 4 weeks."
dizziness,"Dizziness is a term used to describe a range of sensations, such as feeling faint, woozy, weak or unsteady. Dizziness that creates the false sense that you or your surroundings are spinning or moving is called vertigo. Dizziness is one of the more common reasons adults visit their doctors"
urinary urgency,"Urinary urgency: An immediate unstoppable urge to urinate, due to a sudden involuntary contraction of the muscular wall of the bladder."
shortness of breath,"Shortness of breath — known medically as dyspnea — is often described as an intense tightening in the chest, air hunger, difficulty breathing, breathlessness or a feeling of suffocation. Very strenuous exercise, extreme temperatures, obesity and higher altitude all can cause shortness of breath in a healthy person."
palpitation,"Heart palpitations (pal-pih-TAY-shuns) are feelings of having a fast-beating, fluttering or pounding heart. Stress, exercise, medication or, rarely, a medical condition can trigger them. Although heart palpitations can be worrisome, they're usually harmless."
aggression,"Aggressive: In oncology, quickly growing, tending to spread rapidly. As, for example, an aggressive tumor."
bleeding,"Bleeding is the loss of blood. It can be external, or outside the body, like when you get a cut or wound. It can also be internal, or inside the body, like when you have an injury to an internal organ."
blurred vision,"Blurred vision: Lack of sharpness of vision with, as a result, the inability to see fine detail. Blurred vision can occur when a person who wears corrective lens is without them. Blurred vision can also be an important clue to eye disease."
bruising,"Bruise: Injury of the soft tissues that results in breakage of the local capillaries and leakage of red blood cells. In the skin it can be seen as a reddish-purple discoloration that does not blanch when pressed. When a bruise fades, it becomes green and brown, as the body metabolizes the blood cells in the skin."
confusion,"Confusion is the inability to think as clearly or quickly as you normally do. You may feel disoriented and have difficulty paying attention, remembering, and making decisions."
phlegm,"Phlegm (/?fl?m/; Ancient Greek: ??????, phlégma, ""inflammation"", ""humour caused by heat"") is mucus produced by the respiratory system, excluding that produced by the nasal passages. It often refers to respiratory mucus expelled by coughing, otherwise known as sputum."
dark urine,"Dark urine is most commonly due to dehydration. However, it may be an indicator that excess, unusual, or potentially dangerous waste products are circulating in the body. For example, dark brown urine may indicate liver disease due to the presence of bile in the urine."
disorientation,"Disorientation is an altered mental state. A person who's disoriented may not know their location and identity, or the time and date. It's often accompanied with other symptoms such as: confusion, or being unable to think with your normal level of clarity. delirium, or being confused and having disrupted attention."
drooping eyelid,Eyelid drooping is excess sagging of the upper eyelid. The edge of the upper eyelid may be lower than it should be (ptosis) or there may be excess baggy skin in the upper eyelid (dermatochalasis). Eyelid drooping is often a combination of both conditions. The problem is also called ptosis.
dry mouth,"Dry mouth, or xerostomia (zeer-o-STOE-me-uh), refers to a condition in which the salivary glands in your mouth don't make enough saliva to keep your mouth wet. Dry mouth is often due to the side effect of certain medications or aging issues or as a result of radiation therapy for cancer."
dry skin,Dry skin occurs when your skin loses too much water and oil. Dry skin is common and can affect anyone at any age. The medical term for dry skin is xerosis.
elbow pain,"Elbow pain is most often the result of tendinitis, which can affect the inner or outer elbow. Treatment includes ice, rest, and medication for inflammation. Elbow pain has many other causes including arthritis and bursitis."
skin rash,"An area of the skin that has changes in texture or color and may look inflamed or irritated. The skin may be red, warm, scaly, bumpy, dry, itchy, swollen, or painful."
fainting,Syncope (pronounced “sin ko pea”) is the medical term for fainting or passing out. It is caused by a temporary drop in the amount of blood that flows to the brain.
fast heart rate,"Tachycardia refers to a heart rate that's too fast. How that's defined may depend on your age and physical condition. Generally speaking, for adults, a heart rate of more than 100 beats per minute (BPM) is considered too fast. View an animation of tachycardia."
leg pain,"Causes of Leg Pain Video. Characterized by aches, numbness, tingling, burning, or weakness, leg pain quite often is not caused by a problem in the leg or foot, but rather by a condition in the lower back."
loss of appetite,"To use the sharing features on this page, please enable JavaScript. A decreased appetite is when your desire to eat is reduced. The medical term for a loss of appetite is anorexia."
low blood pressure,"Some experts define low blood pressure as readings lower than 90 mm Hg systolic or 60 mm Hg diastolic. If either number is below that, your pressure is lower than normal. A sudden fall in blood pressure can be dangerous."
nasal congestion,"Nasal congestion or ""stuffy nose"" occurs when nasal and adjacent tissues and blood vessels become swollen with excess fluid, causing a ""stuffy"" plugged feeling. Nasal congestion may or may not include a nasal discharge or ""runny nose."""
pelvic pain,"Pelvic pain is pain in the lowest part of your abdomen and pelvis. In women, pelvic pain might refer to symptoms arising from the reproductive, urinary or digestive systems, or from musculoskeletal sources."
runny nose,"The terms ""rhinorrhea"" and ""rhinitis"" are often used to refer to a runny nose. Rhinorrhea actually refers to a thin, mostly clear nasal discharge. Rhinitis refers to the inflammation of nasal tissues. Rhinitis often results in a runny nose."
shoulder pain,Shoulder pain: Pain in the shoulder due to an injury or disease. The design of the shoulder joint is such that it sacrifices stability for mobility.
urinary retention,"Urinary retention is a condition in which you cannot empty all the urine from your bladder. Urinary retention can be acute—a sudden inability to urinate, or chronic—a gradual inability to completely empty the bladder of urine."
vaginal discharge,"Vaginal discharge is a combination of fluid and cells continuously shed through your vagina. Normal vaginal discharge helps keep vaginal tissues healthy, provide lubrication and protect against infection and irritation."
easy bruising,Easy bruising is a common complaint in medical practice for both primary care clinicians and hematologists. Easy bruising can be defined as bruising without a history of trauma or bruising after minor trauma that would not have caused bruising in the past.
mouth sores,"A mouth ulcer is an ulcer that occurs on the mucous membrane of the oral cavity. Mouth ulcers are very common, occurring in association with many diseases and by many different mechanisms, but usually there is no serious underlying cause."
dry eyes,Dry eyes can occur when you're unable to produce enough water (aqueous fluid). The medical term for this condition is keratoconjunctivitis sicca (ker-uh-toe-kun-junk-tih-VY-tis SIK-uh). Common causes of decreased tear production include: Aging.
loss of speech,"Dysphasia (also called aphasia) is an impairment of language. They often co-exist. Strictly speaking, the words anarthria and aphasia mean a total absence of ability to form speech or language but they are often used when dysarthria and dysphasia would be more correct."
cold feet,"Cold feet are one of the body's normal reactions to colder temperatures. When the body enters a colder area, blood vessels in the extremities, such as the hands and feet, will constrict. This reduces the blood flow to these areas, which also reduces the amount of heat the body loses."
decreased appetite,"To use the sharing features on this page, please enable JavaScript. A decreased appetite is when your desire to eat is reduced. The medical term for a loss of appetite is anorexia"
swollen lymph nodes,"The term ""swollen glands"" refers to enlargement of one or more lymph nodes. The medical name for swollen lymph nodes is lymphadenopathy. In a child, a node is considered enlarged if it is more than 1 centimeter (0.4 inch) wide."
tingling,"Tingling (paresthesia) is an unusual sensation most commonly felt in your hands, feet, arms and legs. Tingling is often associated with numbness, or a decrease in the ability to feel or sense pressure or texture."
involuntary movements,"An involuntary movement occurs when you move your body in an uncontrollable and unintended way. These movements can be anything from quick, jerking tics to longer tremors and seizures."
bitter almond odor on breath,"Cyanide sometimes is described as having a “bitter almond” smell, but it does not always give off an odor, and not everyone can detect this odor. Cyanide is also known by the military designations AC (for hydrogen cyanide) and CK (for cyanogen chloride)."
rectal incontinence,"Fecal incontinence is the inability to control bowel movements, causing stool (feces) to leak unexpectedly from the rectum. Also called bowel incontinence, fecal incontinence ranges from an occasional leakage of stool while passing gas to a complete loss of bowel control."
bleeding gums,"The medical terminology for bleeding gums is gingivitis. Gingivitis is a common and mild form of gum disease (periodontal disease.) It causes irritation, redness and swelling (inflammation) of your gingiva, the part of the gum around the tooth base"
swollen tongue,"A swollen tongue is a type of angioedema, a buildup of fluid in the lower layer of the skin or mucous membranes in various parts of the body. In medical terms, tongue swelling is known as glossitis and usually is accompanied by redness and other symptoms depending on the cause."
mood swings,Mood swings refer to rapid changes in mood. The term may refer to minor daily mood changes or to significant mood changes as seen with mood disorders such as major depression or bipolar depression. Mood swings can also occur in women who suffer from premenstrual syndrome or premenstrual dysphoric disorder.
excessive sweating,"Diaphoresis is the medical term used to describe excessive, abnormal sweating in relation to your environment and activity level. It tends to affect your entire body rather than a part of your body. This condition is also sometimes called secondary hyperhidrosis."
morning stiffness,"Morning stiffness is a characteristic feature of inflammatory arthritidies, where it has been defined as ""slowness or difficulty moving the joints when getting out of bed or after staying in one position too long, which involves both sides of the body and gets better with movement"""
bad breath,"Halitosis: An unpleasant odor from the mouth, commonly referred to as bad breath. Halitosis can be caused by the consumption of certain foods, poor oral hygiene, alcohol or tobacco use, dry mouth, or by certain chronic medical conditions."
difficulty urinating,"Difficulty urinating can be a result of anatomical abnormalities within the genitourinary tract. In men, enlargement of the prostate gland, due most commonly to benign prostatic hyperplasia and less commonly to prostate cancer, can cause difficulty urinating. In both men and women, difficulty urinating can result from neurological or muscular conditions that affect function of the bladder. When it becomes difficult to urinate, other symptoms such as dribbling (leaking or mild incontinence) and a weak urine stream may also be present. Certain medications can also cause problems with urination. "
stiff neck,"Neck stiffness, stiff neck and nuchal rigidity are terms often used interchangeably to describe the medical condition when one experiences discomfort or pain when trying to turn, move, or flex the neck. Possible causes include muscle strain or sprain, cervical spine disorders, meningitis, and subarachnoid hemorrhage."
cloudy urine with strong odor,"If the urine smells particularly foul, a person may have an infection. The cloudy look typically comes from discharge of either pus or blood into the urinary tract. It could also be a buildup of white blood cells as the body tries to eliminate invading bacteria."
hot flashes,"A hot flash is the sudden feeling of warmth in the upper body, which is usually most intense over the face, neck and chest. Your skin might redden, as if you're blushing. A hot flash can also cause sweating. If you lose too much body heat, you might feel chilled afterward."
cold hands,"cold hands could mean you have a problem with the nerves or blood circulation or a problem with tissue damage in your hands or fingers. If you are outside in extreme cold weather and you have cold hands, you should watch for warning signs of frostbite."
skin bumps,"Bumps are raised areas protruding from a level surface, such as skin bumps; or bruise results from blood leaking from these injured blood vessels into the tissues as well as from the body's response to the injury."
hair loss,"The medical term for hair loss is alopecia. Alopecia can be temporary or permanent. The most common form of hair loss occurs gradually and is referred to as ""androgenetic alopecia,"" meaning that a combination of hormones (androgens are male hormones) and heredity (genetics) is needed to develop the condition."
discharge from penis,"Penile discharge is any substance that comes out of the penis that's neither urine nor semen. This discharge usually comes out of the urethra, which runs through the penis and exits at the head. It might be white and thick or clear and watery, depending on the underlying cause"
warm to touch face,warm to touch face
sweat,"Diaphoresis is a medical term for perspiration or sweating. The term usually refers to unusually heavy perspiration. Hyperhidrosis pertains to sweating excessively and unpredictably, usually as a result of overactive sweat glands."
distended stomach,A swollen abdomen occurs when your stomach area is larger than normal. This is sometimes known as a distended abdomen or swollen belly. A swollen abdomen is often uncomfortable or even painful. A swollen abdomen has a number of potential causes and is a common occurrence.
weight loss,"Weight loss, in the context of medicine, health, or physical fitness, refers to a reduction of the total body mass, by a mean loss of fluid, body fat (adipose tissue), or lean mass (namely bone mineral deposits, muscle, tendon, and other connective tissue)."
muscle twitch,"Twitching: : Involuntary contractions of groups of muscle fibers. Also known as fasciculations. Fasciculations can occur in normal individuals without an associated disease or condition and can also occur as a result of illness, such as muscle cramps, nerve diseases, and metabolism imbalances."
tremor,"Tremor is an involuntary, rhythmic muscle contraction leading to shaking movements in one or more parts of the body. It is a common movement disorder that most often affects the hands but can also occur in the arms, head, vocal cords, torso, and legs."
fall,A fall is defined as an event which results in a person coming to rest inadvertently on the ground or floor or other lower level. Fall-related injuries may be fatal or non-fatal(1) though most are non-fatal.
bleeding of vagina,Abnormal vaginal bleeding is any vaginal bleeding unrelated to normal menstruation.
cough,"A cough is a forceful expulsion of air from the lungs that helps to clear secretions, foreign bodies, and irritants from the airway. It may be classified as acute (< 3 weeks), subacute (3–8 weeks), or chronic (> 8 weeks), as well as productive (with. sputum. /mucus expectoration) or dry."
pain chest,"Chest pain is defined as the presence of abnormal pain or discomfort in the chest, between the diaphragm and the base of the neck. It is one of the most frequent reasons for consulting in the Emergency Department, representing from 5-20% of medical emergency consultations."
muscle cramps,"A muscle cramp is a sudden and involuntary contraction of one or more of your muscles. If you've ever been awakened in the night or stopped in your tracks by a sudden charley horse, you know that muscle cramps can cause severe pain."
muscle pain,"The medical term for muscle pain is myalgia. Muscle pain may arise due to injury or overexertion, infections of the soft tissues, or inflammatory conditions. A number of conditions can be associated with generalized aches and pain, such as influenza, that are perceived to be muscle pain."
testicle pain,"Testicular pain, also known as scrotal pain, occurs when part or all of either one or both testicles hurt. Pain in the scrotum is also often included. Testicular pain may be of sudden onset or of long duration."
joint pain,"Joint pain can be discomfort, pain or inflammation arising from any part of a joint — including cartilage, bone, ligaments, tendons or muscles. Most commonly, however, joint pain refers to arthritis or arthralgia, which is inflammation or pain from within the joint itself."
vomiting,"Vomiting, or throwing up, is a forceful discharge of stomach contents. It can be a one-time event linked to something that doesn't settle right in the stomach. Recurrent vomiting may be caused by underlying medical conditions."
enlarged  pupils,"Mydriasis is the medical term for an unusual dilation or widening of the pupils. Normally, a person's pupils dilate when the light is dim so that more light can enter the eye. Mydriasis describes a condition where the pupils dilate without a change in the levels of light."
painful intercourse,"The medical term for painful intercourse is dyspareunia (dis-puh-ROO-nee-uh), defined as persistent or recurrent genital pain that occurs just before, during or after intercourse. Talk to your doctor if you're having painful intercourse"
red  eyes,"Red eye: Also called conjunctivitis. Redness or irritation of the conjunctivae, the membranes on the inner part of the eyelids and the membranes covering the whites of the eyes. These membranes react to a wide range of bacteria, viruses, allergy-provoking agents, irritants and toxic agents."
shaking hands,"Essential tremor is a nervous system (neurological) disorder that causes involuntary and rhythmic shaking. It can affect almost any part of your body, but the trembling occurs most often in your hands — especially when you do simple tasks, such as drinking from a glass or tying shoelaces"
swollen lips,"Lip swelling is the enlargement or distention of one or both lips due to fluid buildup or inflammation within the lip tissue. Lip swelling may also be referred to as lip edema. A variety of mild to serious disorders, diseases and conditions can lead to lip swelling."
headache,"Headache: A pain in the head with the pain being above the eyes or the ears, behind the head (occipital), or in the back of the upper neck. Headache, like chest pain or back ache, has many causes."
red spots on the skin,"When the red spot is raised, it is known as a papule. Erythema is the medical term for redness of the skin. Red spots on the skin that occur singly can be a small benign tumor of blood vessels, known as a hemangioma. Tiny, pinpoint hemorrhages can be seen in the skin and are referred to as petechiae."
swollen glands,"Lymph nodes help your body recognize and fight germs, infections, and other foreign substances. The term ""swollen glands"" refers to enlargement of one or more lymph nodes. The medical name for swollen lymph nodes is lymphadenopathy."
memory loss,"Memory loss (amnesia) is unusual forgetfulness. You may not be able to remember new events, recall one or more memories of the past, or both. The memory loss may be for a short time and then resolve (transient). Or, it may not go away, and, depending on the cause, it can get worse over time"
bulging veins,"Varicose veins are swollen, twisted veins that you can see just under the skin. They usually occur in the legs, but also can form in other parts of the body. Hemorrhoids are a type of varicose vein. Your veins have one-way valves that help keep blood flowing toward your heart."
white patches on tongue,Oral thrush is one condition that may cause the tongue to appear white. Oral thrush is a fungal infection caused by the Candida yeast. Oral thrush causes patches to develop in the mouth and on the tongue. These patches usually have a white or off-white color and may have an unpleasant taste.
difficulty swallowing,"Dysphagia is the medical term for swallowing difficulties.
Some people with dysphagia have problems swallowing certain foods or liquids, while others can't swallow at all. Other signs of dysphagia include: coughing or choking when eating or drinking. bringing food back up, sometimes through the nose."
weakness,"Asthenia, also known as weakness, is the feeling of body fatigue or tiredness. A person experiencing weakness may not be able to move a certain part of their body properly. Asthenia is best described as a lack of energy to move certain muscles or even all muscles in the body."
difficulty concentrate,"When you're unable to concentrate, you can't think clearly, focus on a task, or maintain your attention."
